location,population,HighestInfectionCount,PercentPopulationInfected
Faeroe Islands,52888.0,999.0,65.5309332929965
Cyprus,896007.0,999.0,65.3246012586955
Gibraltar,32670.0,999.0,61.4998469543924
San Marino,33746.0,994.0,61.4976589818052
Andorra,79034.0,9972.0,58.4900169547283
Austria,8922082.0,999.0,57.2198507030086
Denmark,5854240.0,9938.0,56.3172162398535
Slovenia,2119410.0,998247.0,55.6010870949934
Iceland,370335.0,9980.0,55.5272928564678
Saint Pierre and Miquelon,5883.0,997.0,54.1900390956995
Portugal,10290103.0,99911.0,53.303120483828
France,67422000.0,997419.0,52.4366260271128
Falkland Islands,3764.0,98.0,51.2752391073326
Brunei,445373.0,9828.0,51.1382593915662
Liechtenstein,39039.0,9956.0,50.4111273342043
Israel,9291000.0,999110.0,50.1523194489291
Latvia,1873919.0,997.0,49.5045943821478
Netherlands,17501696.0,999662.0,48.1843416775151
Slovakia,5447622.0,997514.0,48.15578246802
South Korea,51830139.0,99846.0,47.7340703253757
Georgia,3757980.0,999343.0,47.3842596288432
Switzerland,8691406.0,9877.0,47.2185858076357
Greece,10445365.0,999652.0,47.104069604078
Bahrain,1463265.0,99817.0,46.4654044209354
Luxembourg,639321.0,99717.0,45.5084378582903
Estonia,1328701.0,9956.0,45.3068824363043
Isle of Man,84263.0,9991.0,45.1063930788128
Cayman Islands,68136.0,996.0,44.9997064694141
Lithuania,2786651.0,996636.0,44.7774766197848
Montenegro,627859.0,99988.0,44.571631528735
Seychelles,106470.0,9900.0,43.5409035409035
Bonaire Sint Eustatius and Saba,26706.0,9986.0,42.4810903916723
Aruba,106536.0,9958.0,40.3337838852594
Germany,83408554.0,9978146.0,39.8232608132734
Monaco,36686.0,9964.0,39.8190045248869
Australia,25921089.0,9997168.0,39.3858413896114
Belgium,11611420.0,999627.0,39.0412972745797
Czechia,10510750.0,9991.0,39.0122493637466
Italy,59240330.0,995463.0,37.804114190451
Cook Islands,17003.0,948.0,37.5757219314239
European Union,447593544.0,99822541.0,37.4201025115769
Nauru,12512.0,874.0,36.852621483376
Barbados,281200.0,99970.0,36.4566145092461
Marshall Islands,42050.0,9912.0,36.3258026159334
Maldives,521458.0,99635.0,35.4855041057957
United Kingdom,67281040.0,9974843.0,35.1093799976933
Singapore,5453600.0,996914.0,34.8533262432155
New Zealand,5129728.0,9972.0,34.6910401487174
Serbia,6871547.0,994708.0,34.3006021788107
Ireland,4986526.0,978104.0,33.362966522184
Montserrat,4417.0,980.0,31.6051618745755
High income,1241374280.0,99861563.0,30.647963884027
Europe,748655221.0,999664.0,30.5462976261004
Croatia,4060135.0,998463.0,30.3109625665156
Palau,18024.0,898.0,30.2929427430093
Mongolia,3347782.0,993.0,29.3586619439378
